"SKU";"Item name";"Attribute name";"Attribute value";"GTIN";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"COLOR";"Beige";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"MASTER CARTON WEIGHT";"7000g";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"UNITS/CRTN";"12 (3 packs)";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"PRODUCT SIZE ";"39cm 39cm 4cm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"PACKED SIZE";"40cm 41cm 18cm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"DIM WEIGHT";"5.90";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"PACKED WEIGHT";"1900g";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"PE BAG SIZE";"40*40*16 cm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"COLOR TOP";"Beige";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"MATERIAL TOP";"60% polyester 34% cotton 6% spandex";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"QUALITY TOP";"180gsm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"ZIPPER STYLE";"Invisible Style";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"ZIPPER COLOR";"Beige";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"FILLING";"50D memory foam Inner cover: 90g 100% polyester, white";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"FILLING COLOR";"White";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"BRAND LABEL COLOR";"Orange + green font";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"BRAND LABEL SIZE";"23.2 x 20 mm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"WASHING LABEL SIZE";"7x3.5cm ";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"BRAND INSERT PAPER STYLE";"non shiny matte 230g paper weight";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"HS CODE";"94049090";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"SOURCING PRICE";"$11.70";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"PRODUCT WEIGHT";"470g";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"BRAND INSERT SIZE";"32 x 10 cm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"COLOR BOTTOM";"Beige";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"MATERIAL BOTTOM";"100% Polyester Anti-Slip";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"QUALITY BOTTOM";"120g";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"SUPPLIER";"NINGBO SUNAIR";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"ASIN";"B0DFYGQYFB";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"EAN";"8720618522702";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"MASTER CARTON CBM";"0.0917";"8720618522702";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"barcode_type";"EAN";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"MASTER CARTON SIZE";"57cm 57cm 42cm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"FBA FEE";"€6.55";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"COLOR";"Beige";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"MASTER CARTON WEIGHT";"9500g";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"UNITS/CRTN";"16 (8 packs)";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"PRODUCT SIZE ";"39cm 39cm 4cm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"PACKED SIZE";"40cm 28cm 14cm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"DIM WEIGHT";"3.14";"8720618522696";
